0_names,0_scores,0_pvals_adj,0_logfoldchanges,1_names,1_scores,1_pvals_adj,1_logfoldchanges,2_names,2_scores,2_pvals_adj,2_logfoldchanges,3_names,3_scores,3_pvals_adj,3_logfoldchanges,4_names,4_scores,4_pvals_adj,4_logfoldchanges,5_names,5_scores,5_pvals_adj,5_logfoldchanges,6_names,6_scores,6_pvals_adj,6_logfoldchanges,7_names,7_scores,7_pvals_adj,7_logfoldchanges
LDHB,29.336582,4.8604310630061166e-185,,LYZ,34.22364,1.4759928381230672e-252,,CD74,29.057734,1.685225818610037e-181,,CCL5,25.199623,5.5459920730783816e-136,,FCGR3A,17.18822,4.4621994303348945e-62,,GZMB,20.640162,1.6410164337851649e-90,,CD8B,15.368852,3.631760492264054e-49,,FCER1A,8.614478,4.316226577074047e-14,
CD3D,25.206423,9.34242720959008e-137,,S100A9,33.697918,4.252095798637533e-245,,HLA-DRA,28.480389,1.4054355148067218e-174,,NKG7,24.094578,1.953747758138927e-124,,LST1,16.504417,8.768845018895828e-58,,NKG7,20.048609,1.4232749825278024e-85,,CD8A,10.81956,1.9070041555584926e-23,,HLA-DQA1,7.2731524,3.440198015779651e-10,
LTB,23.364553,1.6806476355309327e-117,,S100A8,32.99371,4.570410413350156e-235,,CD79A,27.848581,5.122731508937281e-167,,GZMA,19.720736,6.54292283784531e-83,,FCER1G,16.168615,8.857520426249075e-56,,PRF1,19.774254,2.267906105563049e-83,,RP11-291B21.2,9.890642,2.0894894382438442e-19,,HLA-DQA2,7.02758,1.2460905990063548e-09,
TPT1,22.65629,1.6587126674224822e-110,,TYROBP,32.77273,4.939730492299793e-232,,HLA-DPB1,27.43758,3.3508612237143695e-162,,CST7,19.463465,7.683568090449016e-81,,IFITM3,15.893896,5.634672893792596e-54,,GNLY,18.886692,5.031640860283164e-76,,RPL31,8.337516,2.0808855027229683e-13,,HLA-DQB1,7.022412,1.2460905990063548e-09,
RPS25,22.365517,1.0633418359257381e-107,,CST3,32.704063,3.750141499749824e-231,,CD79B,26.704502,1.14454592142335e-153,,CTSW,18.97175,8.009381311631778e-77,,SAT1,15.746119,5.27108359103928e-53,,GZMA,18.146877,3.727831638360594e-70,,CD3D,8.262577,3.2584628395982924e-13,,HLA-DRB5,6.9864635,1.546399410073388e-09,
CD3E,21.747515,7.692911787331977e-102,,FCN1,31.943033,1.5429941631980364e-220,,HLA-DRB1,26.54045,7.566488671317185e-152,,GZMK,17.100855,3.3426780212481055e-62,,AIF1,15.6887455,1.2382946073453324e-52,,CST7,18.080832,1.0313345388706017e-69,,RPS12,8.241305,3.337237056788955e-13,,CPVL,6.78313,4.479887316084426e-09,
RPS29,21.741816,8.088116902085664e-102,,FTL,30.652334,4.819636965525961e-203,,HLA-DPA1,25.953306,3.2689151589817466e-145,,IL32,16.967125,2.81732190036259e-61,,COTL1,15.4587965,3.223612214882166e-51,,CTSW,17.982542,5.230294367172737e-69,,RPSA,8.211171,3.754926842101783e-13,,CLEC10A,6.754821,5.30071309613769e-09,
RPS12,21.075832,1.1361451739705007e-95,,LGALS1,30.591946,2.685218771236005e-202,,HLA-DQA1,25.92295,6.293119413445837e-145,,CD3D,13.5215435,2.0005574317598784e-38,,TIMP1,15.116083,4.461199820926516e-49,,FGFBP2,17.933449,1.108149875187535e-68,,RPS5,8.133298,6.365848895058781e-13,,CST3,6.7424636,5.619969337632202e-09,
RPL31,21.014273,3.917488609637253e-95,,LGALS2,30.437536,2.668830354866367e-200,,MS4A1,25.467323,6.91598246535823e-140,,HLA-C,13.241028,7.748152721306854e-37,,SERPINA1,14.958243,4.102570178565739e-48,,FCGR3A,16.00877,1.5220084148603712e-54,,RPL3,8.116611,6.574280377705591e-13,,HLA-DPB1,6.7278595,6.054447787392192e-09,
IL32,20.905518,3.634121210659283e-94,,AIF1,29.73527,3.687578195124589e-191,,HLA-DQB1,24.713726,1.0442906797637433e-131,,CD8A,12.879911,8.009292397359059e-35,,MS4A7,14.781907,5.36419156860891e-47,,SPON2,15.363473,3.035435587218944e-50,,RPS6,7.7793226,8.332854938797941e-12,,HLA-DRB1,6.5606995,1.5301389213024175e-08,
IL7R,20.527649,8.800867917867578e-91,,LST1,29.374947,1.4308253754003293e-186,,CD37,24.314705,1.7084505758119572e-127,,LYAR,12.842781,1.1771629416387558e-34,,RP11-290F20.3,14.602419,7.148506383299288e-46,,CD247,14.837964,6.008504934326986e-47,,EEF1B2,7.7680755,8.406428631852576e-12,,HLA-DMA,6.451169,2.7180802592235805e-08,
RPS27A,20.38211,1.652758729119651e-89,,FTH1,29.122948,2.101795687965807e-183,,HLA-DRB5,21.586636,2.530276934254924e-100,,HLA-A,12.697316,6.993273137881674e-34,,CD68,14.377908,1.6553352092514361e-44,,CCL4,14.523248,4.9325643512458255e-45,,CD7,7.696559,1.3692362725204484e-11,,HLA-DPA1,6.3406277,5.1445698497502855e-08,
RPL30,20.180536,9.049065182434546e-88,,S100A6,28.722145,2.129547172523471e-178,,TCL1A,18.470747,3.4787909772760355e-73,,GZMM,12.457666,1.3401043068235197e-32,,CST3,14.071173,1.2050239133699326e-42,,GZMM,14.060475,3.037124982695022e-42,,RPS16,7.6156907,2.115868834869869e-11,,GRN,6.23649,9.298488542266619e-08,
RPS20,19.953146,8.392303552469924e-86,,TYMP,28.703066,3.42209177853533e-178,,RPS11,17.351995,1.632894654715652e-64,,HCST,12.298655,9.021367970727578e-32,,SPI1,13.95104,6.074330907779947e-42,,CD7,12.374599,9.10916396678227e-33,,RPL9,7.5661182,2.7755824943459824e-11,,LYZ,6.1926775,1.1756415389890737e-07,
RPS15A,19.800032,1.699987361263901e-84,,GSTP1,27.818584,2.3636880762863334e-167,,HLA-DMA,17.170454,3.5651758252458166e-63,,PTPRCAP,12.148775,5.323930056669561e-31,,CFD,13.7891865,5.71894599932291e-41,,GZMH,12.080037,2.978567899383053e-31,,RPS28,7.4888563,4.7639949151794576e-11,,HLA-DRA,6.074497,2.32444922450534e-07,
RPL9,19.670427,2.1202128101836245e-83,,CTSS,27.559769,2.8968708015759504e-164,,RPL18A,16.936632,1.840423018034271e-61,,KLRG1,11.103388,9.201882872437847e-26,,STXBP2,13.736691,1.1658692641805106e-40,,PLAC8,12.031564,5.196827482557409e-31,,EEF1A1,7.4551153,5.863669490489746e-11,,CD74,6.0731487,2.32444922450534e-07,
RPS27,19.40058,4.0248614866123265e-81,,FCER1G,27.531933,5.875620230032351e-164,,LINC00926,16.894926,3.5391007021735746e-61,,PRF1,10.1303,2.527153230850355e-21,,RHOC,13.633939,4.663219969736381e-40,,CLIC3,11.5406275,1.5256439530769712e-28,,LDHB,7.35432,1.196243683790238e-10,,HLA-DMB,5.8416185,8.861994238010128e-07,
RPSA,19.383808,5.369998566130001e-81,,GPX1,27.329939,1.4249475683356976e-161,,RPS23,16.790771,1.9550241556860413e-60,,B2M,9.519534,1.037235137834519e-18,,PSAP,13.419946,8.123777643165864e-39,,APMAP,11.437169,4.855796317963512e-28,,RPL4,7.3164835,1.5177999368400532e-10,,AP1S2,5.780731,1.228918754534612e-06,
TMEM66,19.278423,3.992916634423926e-80,,S100A11,26.675257,6.581519024121904e-154,,RPS5,16.205921,2.616936543488212e-56,,GZMH,9.364975,4.172788154103179e-18,,FTH1,13.254637,7.181506724374703e-38,,SRGN,11.334589,1.5161962074411416e-27,,RPLP2,7.30976,1.5292260498985548e-10,,LGALS2,5.7089467,1.7919251678124336e-06,
NPM1,19.241083,7.929085699281615e-80,,COTL1,26.380768,1.5618456497753245e-150,,LTB,15.9811945,9.114636364202094e-55,,HOPX,9.354259,4.4405856183496194e-18,,FTL,13.2251625,1.0503154586162407e-37,,KLRD1,11.280792,2.6976705470394217e-27,,NPM1,7.2584147,2.0658175633344245e-10,,RNF130,5.5497622,4.218280865880415e-06,
RPS3,19.177624,2.6021861711611702e-79,,PSAP,26.252666,4.35168669729157e-149,,RPL8,15.147807,3.836859932288586e-49,,CD99,9.224001,1.4537730469414384e-17,,CTSS,13.04288,1.125692241870606e-36,,HOPX,11.262912,3.265850531454539e-27,,RPL21,7.251324,2.0962912915934317e-10,,KLF4,5.42765,8.157093788686144e-06,
RPS13,18.988739,9.349502129186404e-78,,SAT1,26.113354,1.6028969930069418e-147,,RPS8,14.957244,6.385794246728083e-48,,CD8B,9.131023,3.2088225027156925e-17,,TYROBP,12.543547,6.645173009837568e-34,,ITGB2,11.126173,1.509616778489561e-26,,RPS3A,7.241422,2.174668758727166e-10,,CD33,5.4112487,8.669853324880777e-06,
RPLP0,18.859945,1.0434219711615469e-76,,S100A4,26.051437,7.72659829619448e-147,,RPL13A,14.943416,7.606009871964562e-48,,HLA-B,9.107591,3.8505100047674054e-17,,CEBPB,12.386673,4.6504270244724345e-33,,CCL5,10.425942,2.6967738693633534e-23,,RPLP0,7.216361,2.4807610918284267e-10,,CTSH,5.397319,9.276726508712008e-06,
RPL36,18.595518,1.4089855349388796e-74,,CFD,25.10214,2.692967881682419e-136,,HLA-DQA2,14.598303,1.1613458254514207e-45,,CD3E,9.089101,4.4177372353441146e-17,,S100A11,12.350796,7.189698273954628e-33,,IGFBP7,10.347238,6.027639631124312e-23,,RPL14,7.2141604,2.4807610918284267e-10,,IGSF6,5.3136263,1.4170908308451439e-05,
RPS14,18.563751,2.473947841127639e-74,,NPC2,24.869984,8.624356167907406e-134,,VPREB3,14.55142,2.241371381623377e-45,,APOBEC3G,8.457318,1.042252497166983e-14,,IFI30,12.283818,1.5973191121435053e-32,,XCL2,10.185901,3.022720629543144e-22,,RPL13,7.1987567,2.688121025727201e-10,,RNASE6,5.221059,2.2383116527857763e-05,
EEF1A1,18.48337,1.0417843653322743e-73,,OAZ1,23.9612,3.5871644324604574e-124,,RPL15,14.489415,5.384290242698367e-45,,MYL12A,8.211405,7.45397420670176e-14,,TYMP,12.277314,1.7130218188844577e-32,,CD63,10.038465,1.3487937455724703e-21,,RPL5,7.149979,3.7195428169537685e-10,,FCGRT,5.205893,2.407001628059741e-05,
JUNB,18.436731,2.405416801879815e-73,,GRN,23.599127,1.7985941008305134e-120,,LAPTM5,14.280624,1.0711707644675997e-43,,LCK,8.083788,2.002423036662771e-13,,HCK,12.189653,4.989617933664664e-32,,RARRES3,9.879763,6.592216702211749e-21,,TMEM66,7.1027904,5.080939282787112e-10,,CFP,5.203085,2.4216624878113266e-05,
